,Location,Latitude,Longitude
0,Adelaide,-34.9284989,138.6007456
1,Albany,42.6525793,-73.7562317
2,Albury,-36.0751193,146.9094852
3,AliceSprings,-23.698042,133.8807471
4,BadgerysCreek,-33.8750975,150.7634322
5,Ballarat,-37.5621587,143.8502556
6,Bendigo,-36.75961960000001,144.2785764
7,Brisbane,-27.4704528,153.0260341
8,Cairns,-16.9203476,145.7709529
9,Canberra,-35.2801903,149.1310038
10,Cobar,-31.497762,145.8362994
11,CoffsHarbour,-30.2962013,153.1138924
12,Dartmoor,50.5718857,-3.9206884
13,Darwin,-12.4637333,130.8444446
14,GoldCoast,25.7892315,-80.2042985
15,Hobart,-42.8826055,147.3257196
16,Katherine,-14.4519683,132.2698623
17,Launceston,-41.439068,147.1357671
18,Melbourne,-37.8136276,144.9630576
19,MelbourneAirport,-37.6708673,144.8432785
20,Mildura,-34.2068859,142.1366852
21,Moree,-29.465303,149.8415676
22,MountGinini,-35.5293845,148.7722786
23,Newcastle,54.978252,-1.61778
24,Nhil,-36.33278,141.6503408
25,NorahHead,-33.2821783,151.5669439
26,NorfolkIsland,-29.040835,167.954712
27,Nuriootpa,-34.4730339,138.9956868
28,PearceRAAF,-31.670971,116.017097
29,Penrith,54.664097,-2.752708
30,Perth,-31.9523123,115.861309
31,PerthAirport,-31.9385476,115.9672492
32,Portland,45.515232,-122.6783853
33,Richmond,37.5407246,-77.4360481
34,SalmonGums,-32.9804187,121.6456073
35,Sydney,-33.8688197,151.2092955
36,SydneyAirport,-33.9500344,151.1819124
37,Townsville,-19.2589635,146.8169483
38,Tuggeranong,-35.4244,149.0888
39,Uluru,-25.3444277,131.0368822
40,WaggaWagga,-35.1025977,147.3655103
41,Walpole,42.1470851,-71.2517835
42,Williamtown,-32.8115041,151.8442669
43,Witchcliffe,-34.0261715,115.100233
44,Wollongong,-34.4248336,150.8931132
45,Woomera,-31.1988337,136.8250657
46,Sale,-38.101234687941734,147.06295834508276
47,MountGambier,-37.82910046176463,140.76648208767412
48,Watsonia,-37.70754116105754,145.07517669609706
